country,country_code,shop_id,shop_name,item_id,product_name,category,platform_category,shop_category,current_price,price,discount_percent,displayed_discount_pct,likes,liked_count,rating_count,monthly_sold_value_proxy,monthly_sold_value,history_sold_value,opportunity_score,recommendation_label,confidence_level,top_three_explanation_reasons,reason_1,reason_2,reason_3,peer_group_benchmark
id,id,779266191,lavojoy Official Shop,21795721649,Lavojoy Let It Glow Body Wash Skin Brightening Upgraded Version | Sabun Mandi Cair Untuk Mencerahkan Dan Melembabkan Kulit | Fresh Body Shower,Beauty,Beauty,LVJ BODY CARE SERIES,47500,47500,32.0,32.0,21273,21273,21266,1000.0,1000.0,10000.0,65.46,Protect Hero SKU,Medium,Likes are at the 87% peer percentile. | Shop credibility score is 85%. | Displayed discount is at the 17% peer percentile.,Likes are at the 87% peer percentile.,Shop credibility score is 85%.,Displayed discount is at the 17% peer percentile.,id | Beauty; price pctl 22%; likes pctl 87%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,42951674418,Glad2Glow Double Bright Tone up Cream Day Cream Cerah Instan Niacinamide Moisturizer brightening wajah pemutih  Night Cream whitening skincare glowing Mencerahkan warna halus glad2glow official store,Beauty,Beauty,,75000,75000,58.0,58.0,28149,28149,77358,1000.0,1000.0,10000.0,65.42,Protect Hero SKU,Medium,Likes are at the 91% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 91% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 46%; likes pctl 91%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,18083979760,Glad2Glow Yuja Symwhite 377 Dark Spot Moisturizer menghilangkan bekas jerawat brightening night cream day cream Hilangkan Kulit Skincare Pelembab Esensi Wajah Perawatan Wajah Pembersih day cream tone up g2g official store,Beauty,Beauty,SKINCARE,81900,81900,59.0,59.0,33634,33634,101935,1000.0,1000.0,10000.0,65.26,Protect Hero SKU,Medium,Likes are at the 93% peer percentile. | Shop credibility score is 87%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 93% peer percentile.,Shop credibility score is 87%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 56%; likes pctl 93%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,52351401583,[NEW! FREE EXCLUSIVE CHARM] Glad2Glow Perfect Cover Glow Cushion Charm- High Coverage&Glowing Tahan 12 Jam g2g Official Store,Beauty,Beauty,MAKE UP,61000,61000,69.0,69.0,36244,36244,48548,1000.0,1000.0,10000.0,65.21,Protect Hero SKU,Medium,Likes are at the 93% peer percentile. | Shop credibility score is 87%. | Displayed discount is at the 80% peer percentile.,Likes are at the 93% peer percentile.,Shop credibility score is 87%.,Displayed discount is at the 80% peer percentile.,id | Beauty; price pctl 34%; likes pctl 93%; sold-value pctl 79%
id,id,1368540320, Cyeecare Official Store,28934445366,Cyeecare Hair Mask Masker Rambut Keratin Hyaluronic Acid Treatment Melembutkan Meluruskan Rambut Rusak Kering Mengembang 150ml,Beauty,Beauty,Produk Terlaris,34900,34900,89.0,89.0,37752,37752,37116,1000.0,1000.0,10000.0,65.15,Protect Hero SKU,Medium,Displayed discount is at the 96% peer percentile. | Price is at the 5% country-category percentile. | Likes are at the 93% peer percentile.,Displayed discount is at the 96% peer percentile.,Price is at the 5% country-category percentile.,Likes are at the 93% peer percentile.,id | Beauty; price pctl 5%; likes pctl 93%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,50802739806,"[Buy3 Disc 34%]Glad2Glow Niacinamide Serum Facial Wash Instant Glow 100g, Pencuci Wajah Brightening,Mencerahkan Pembersih Pori,Ceramide Ectoin Sakura,Untuk Kulit Kusam Berminyak Kulit Sensitif,Melembabkan,pembersih wajah,sabun cuci muka",Beauty,Beauty,SKINCARE,45900,45900,54.0,54.0,13303,13303,49538,1000.0,1000.0,10000.0,65.04,Protect Hero SKU,Medium,Shop credibility score is 87%. | Likes are at the 81% peer percentile. | Price is at the 21% country-category percentile.,Shop credibility score is 87%.,Likes are at the 81% peer percentile.,Price is at the 21% country-category percentile.,id | Beauty; price pctl 21%; likes pctl 81%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,41500309150,Glad2Glow Pomegranate Niacinamide Power Bright Serum  Mencerahkan Wajah Pemutih Wajah  Serum Glowing  Serum And Essence Wajah  Bekas Jerawat g2glow official store,Beauty,Beauty,SKINCARE,39900,39900,60.0,60.0,10790,10790,62046,1000.0,1000.0,10000.0,65.02,Protect Hero SKU,Medium,Shop credibility score is 87%. | Price is at the 16% country-category percentile. | Likes are at the 80% peer percentile.,Shop credibility score is 87%.,Price is at the 16% country-category percentile.,Likes are at the 80% peer percentile.,id | Beauty; price pctl 16%; likes pctl 80%; sold-value pctl 79%
id,id,779266191,lavojoy Official Shop,26127246027,[TONE UP SHADE 01] Lavojoy Let It Glow Daily Shine Body Serum Instant Tone Up Delicate Rose with SPF 50 PA++++|Shade 01 Cream Beige|Body Serum untuk Perlindungan Sinar UV|Mencerahkan Seketika & Melembapkan Kulit dengan 3% Niacinamide + Australian Super VC,Beauty,Beauty,LVJ BODY CARE SERIES,59040,59040,40.0,40.0,23971,23971,26462,1000.0,1000.0,10000.0,64.99,Protect Hero SKU,Medium,Likes are at the 88% peer percentile. | Shop credibility score is 85%. | Historical sold-value proxy is at the 79% peer percentile.,Likes are at the 88% peer percentile.,Shop credibility score is 85%.,Historical sold-value proxy is at the 79% peer percentile.,id | Beauty; price pctl 33%; likes pctl 88%; sold-value pctl 79%
id,id,200048291,Prettywell Official Shop,12173928596,Prettywell CeraMON Moisturizer Gel Pelembab Wajah Melembabkan Kulit Moisturizer Jerawat Day & Night Gel Cocok Untuk Semua Jenis Kulit,Beauty,Beauty,PROMO ❗,79750,79750,0.0,0.0,43853,43853,26085,1000.0,1000.0,10000.0,64.99,Protect Hero SKU,Medium,Likes are at the 94% peer percentile. | Displayed discount is at the 6% peer percentile. | Shop credibility score is 82%.,Likes are at the 94% peer percentile.,Displayed discount is at the 6% peer percentile.,Shop credibility score is 82%.,id | Beauty; price pctl 52%; likes pctl 94%; sold-value pctl 79%
id,id,809769142,Glad2Glow Official Store,45151558561,GLAD2GLOW 2%Niacinamide Brightening Tone Up Cream Day Cream Cerah Instan Moisturizer wajah cream pemutih wajah  Night Cream base make up whitening cream skincare glowing BB cream Mencerahkan warna kulit halus g2glow official store,Beauty,Beauty,SKINCARE,37900,37900,71.0,71.0,16408,16408,41298,1000.0,1000.0,10000.0,64.77,Protect Hero SKU,Medium,Price is at the 9% country-category percentile. | Shop credibility score is 87%. | Likes are at the 83% peer percentile.,Price is at the 9% country-category percentile.,Shop credibility score is 87%.,Likes are at the 83% peer percentile.,id | Beauty; price pctl 9%; likes pctl 83%; sold-value pctl 79%
